Round	Overall	PickInRound	TeamName	ManagerName	OriginalSlot	PickedByUser	Player	Pos	NFLTeam	Keeper	Notes
4	25	1	I_hate_Kowa	theBIGLebronski	8	635586046918230016	Amon-Ra St. Brown	WR	DET		
4	26	2	Snatchville Lubricators	kesso	7	589576591017811968	Jaylen Waddle	WR	MIA		
4	27	3	Andertheker	LosSausages	6	342208470788886528	Patrick Mahomes	QB	KC		
4	28	4	Suckme Mourdock Network	lancemourdock	5	342388370686664704	Rhamondre Stevenson	RB	NE		
4	29	5	Glizzy Gladiators	ShamH	4	76695567182741504	Kenneth Walker	RB	SEA		
4	30	6	Juschka	Juschka	3	341593961992892416	Chris Olave	WR	NO		
4	31	7	Simon2307	Simon2307	2	859802093802864640	Aaron Jones	RB	MIN		
4	32	8	oG United	Jottage	1	342040643784294400	Joe Mixon	RB	HOU		
5	33	1	oG United	Jottage	1	342040643784294400	J.K. Dobbins	RB	DEN		
5	34	2	Simon2307	Simon2307	2	859802093802864640	Amari Cooper	WR			
5	35	3	Juschka	Juschka	3	341593961992892416	Jahmyr Gibbs	RB	DET		
5	36	4	Glizzy Gladiators	ShamH	4	76695567182741504	Dameon Pierce	RB	HOU		
5	37	5	Suckme Mourdock Network	lancemourdock	5	342388370686664704	Deebo Samuel	WR	WAS		
5	38	6	Andertheker	LosSausages	6	342208470788886528	Tee Higgins	WR	CIN		
5	39	7	Snatchville Lubricators	kesso	7	589576591017811968	Jalen Hurts	QB	PHI		
5	40	8	I_hate_Kowa	theBIGLebronski	8	635586046918230016	Josh Allen	QB	BUF		
6	41	1	I_hate_Kowa	theBIGLebronski	8	635586046918230016	Miles Sanders	RB	DAL		
6	42	2	Snatchville Lubricators	kesso	7	589576591017811968	George Kittle	TE	SF		
6	43	3	Andertheker	LosSausages	6	342208470788886528	Dalvin Cook	RB			
6	44	4	Suckme Mourdock Network	lancemourdock	5	342388370686664704	Justin Fields	QB	NYJ		
6	45	5	Glizzy Gladiators	ShamH	4	76695567182741504	Cam Akers	RB	MIN		
6	46	6	Juschka	Juschka	3	341593961992892416	DeVonta Smith	WR	PHI		
6	47	7	Simon2307	Simon2307	2	859802093802864640	Alexander Mattison	RB	MIA		
6	48	8	oG United	Jottage	1	342040643784294400	Calvin Ridley	WR	TEN		
7	49	1	oG United	Jottage	1	342040643784294400	Jerry Jeudy	WR	CLE		
7	50	2	Simon2307	Simon2307	2	859802093802864640	DJ Moore	WR	CHI		
7	51	3	Juschka	Juschka	3	341593961992892416	Joe Burrow	QB	CIN		
7	52	4	Glizzy Gladiators	ShamH	4	76695567182741504	Lamar Jackson	QB	BAL		
7	53	5	Suckme Mourdock Network	lancemourdock	5	342388370686664704	Isiah Pacheco	RB	KC		
7	54	6	Andertheker	LosSausages	6	342208470788886528	Christian Watson	WR	GB		
7	55	7	Snatchville Lubricators	kesso	7	589576591017811968	Terry McLaurin	WR	WAS		
7	56	8	I_hate_Kowa	theBIGLebronski	8	635586046918230016	Keenan Allen	WR	LAC		
8	57	1	I_hate_Kowa	theBIGLebronski	8	635586046918230016	D'Andre Swift	RB	CHI		
8	58	2	Snatchville Lubricators	kesso	7	589576591017811968	James Conner	RB	ARI		
8	59	3	Andertheker	LosSausages	6	342208470788886528	Mike Evans	WR	TB		
8	60	4	Suckme Mourdock Network	lancemourdock	5	342388370686664704	George Pickens	WR	DAL		
8	61	5	Glizzy Gladiators	ShamH	4	76695567182741504	Mike Williams	WR			
8	62	6	Juschka	Juschka	3	341593961992892416	Drake London	WR	ATL		
8	63	7	Simon2307	Simon2307	2	859802093802864640	T.J. Hockenson	TE	MIN		
8	64	8	oG United	Jottage	1	342040643784294400	Brandon Aiyuk	WR	SF		
9	65	1	oG United	Jottage	1	342040643784294400	Rachaad White	RB	TB		
9	66	2	Simon2307	Simon2307	2	859802093802864640	David Montgomery	RB	DET		
9	67	3	Juschka	Juschka	3	341593961992892416	Kyle Pitts	TE	ATL		
9	68	4	Glizzy Gladiators	ShamH	4	76695567182741504	Alvin Kamara	RB	NO		
9	69	5	Suckme Mourdock Network	lancemourdock	5	342388370686664704	Javonte Williams	RB	DAL		
9	70	6	Andertheker	LosSausages	6	342208470788886528	James Cook	RB	BUF		
9	71	7	Snatchville Lubricators	kesso	7	589576591017811968	Samaje Perine	RB	CIN		
9	72	8	I_hate_Kowa	theBIGLebronski	8	635586046918230016	Dallas Goedert	TE	PHI		
10	73	1	I_hate_Kowa	theBIGLebronski	8	635586046918230016	Diontae Johnson	WR			
10	74	2	Snatchville Lubricators	kesso	7	589576591017811968	DeAndre Hopkins	WR	BAL		
10	75	3	Andertheker	LosSausages	6	342208470788886528	A.J. Dillon	RB	PHI		
10	76	4	Suckme Mourdock Network	lancemourdock	5	342388370686664704	Kadarius Toney	WR			
10	77	5	Glizzy Gladiators	ShamH	4	76695567182741504	Chris Godwin	WR	TB		
10	78	6	Juschka	Juschka	3	341593961992892416	Brian Robinson	RB	SF		
10	79	7	Simon2307	Simon2307	2	859802093802864640	Christian Kirk	WR	HOU		
10	80	8	oG United	Jottage	1	342040643784294400	Darren Waller	TE	MIA		
11	81	1	oG United	Jottage	1	342040643784294400	Tyler Lockett	WR	TEN		
11	82	2	Simon2307	Simon2307	2	859802093802864640	Michael Pittman	WR	IND		
11	83	3	Juschka	Juschka	3	341593961992892416	Khalil Herbert	RB	NYJ		
11	84	4	Glizzy Gladiators	ShamH	4	76695567182741504	Treylon Burks	WR	TEN		
11	85	5	Suckme Mourdock Network	lancemourdock	5	342388370686664704	Jamaal Williams	RB			
11	86	6	Andertheker	LosSausages	6	342208470788886528	S. 49ers	DEF	SF		
11	87	7	Snatchville Lubricators	kesso	7	589576591017811968	Jeff Wilson	RB	MIA		
11	88	8	I_hate_Kowa	theBIGLebronski	8	635586046918230016	D. Cowboys	DEF	DAL		
12	89	1	I_hate_Kowa	theBIGLebronski	8	635586046918230016	De'Von Achane	RB	MIA		
12	90	2	Snatchville Lubricators	kesso	7	589576591017811968	Brandin Cooks	WR	NO		
12	91	3	Andertheker	LosSausages	6	342208470788886528	David Njoku	TE	CLE		
12	92	4	Suckme Mourdock Network	lancemourdock	5	342388370686664704	B. Bills	DEF	BUF		
12	93	5	Glizzy Gladiators	ShamH	4	76695567182741504	Jordan Addison	WR	MIN		
12	94	6	Juschka	Juschka	3	341593961992892416	P. Eagles	DEF	PHI		
12	95	7	Simon2307	Simon2307	2	859802093802864640	N. Patriots	DEF	NE		
12	96	8	oG United	Jottage	1	342040643784294400	Justin Tucker	K			
13	97	1	oG United	Jottage	1	342040643784294400	Justin Herbert	QB	LAC		
13	98	2	Simon2307	Simon2307	2	859802093802864640	Tyler Bass	K	BUF		
13	99	3	Juschka	Juschka	3	341593961992892416	Rashaad Penny	RB			
13	100	4	Glizzy Gladiators	ShamH	4	76695567182741504	Jaxon Smith-Njigba	WR	SEA		
13	101	5	Suckme Mourdock Network	lancemourdock	5	342388370686664704	Michael Thomas	WR			
13	102	6	Andertheker	LosSausages	6	342208470788886528	Courtland Sutton	WR	DEN		
13	103	7	Snatchville Lubricators	kesso	7	589576591017811968	Zach Charbonnet	RB	SEA		
13	104	8	I_hate_Kowa	theBIGLebronski	8	635586046918230016	Antonio Gibson	RB	NE		
14	105	1	I_hate_Kowa	theBIGLebronski	8	635586046918230016	Zay Flowers	WR	BAL		
14	106	2	Snatchville Lubricators	kesso	7	589576591017811968	Daniel Carlson	K	LV		
14	107	3	Andertheker	LosSausages	6	342208470788886528	Evan McPherson	K	CIN		
14	108	4	Suckme Mourdock Network	lancemourdock	5	342388370686664704	Harrison Butker	K	KC		
14	109	5	Glizzy Gladiators	ShamH	4	76695567182741504	Younghoe Koo	K	NYG		
14	110	6	Juschka	Juschka	3	341593961992892416	Elijah Mitchell	RB	KC		
14	111	7	Simon2307	Simon2307	2	859802093802864640	Trevor Lawrence	QB	JAX		
14	112	8	oG United	Jottage	1	342040643784294400	D. Broncos	DEF	DEN		
15	113	1	oG United	Jottage	1	342040643784294400	Damien Harris	RB			
15	114	2	Simon2307	Simon2307	2	859802093802864640	Allen Lazard	WR	NYJ		
15	115	3	Juschka	Juschka	3	341593961992892416	Sam Ficken	K			
15	116	4	Glizzy Gladiators	ShamH	4	76695567182741504	Evan Engram	TE	DEN		
15	117	5	Suckme Mourdock Network	lancemourdock	5	342388370686664704	JuJu Smith-Schuster	WR	KC		
15	118	6	Andertheker	LosSausages	6	342208470788886528	Devin Singletary	RB	NYG		
15	119	7	Snatchville Lubricators	kesso	7	589576591017811968	Gabe Davis	WR	BUF		
15	120	8	I_hate_Kowa	theBIGLebronski	8	635586046918230016	Brock Purdy	QB	SF		
