Round	Overall	PickInRound	TeamName	ManagerName	OriginalSlot	PickedByUser	Player	Pos	NFLTeam	Keeper	Notes
11	87	7	Snatchville Lubricators	kesso	7	589576591017811968	Rhamondre Stevenson	RB	NE		
11	88	8	Suckme Mourdock Network	lancemourdock	8	342388370686664704	Jerry Jeudy	WR	CLE		
12	89	1	Suckme Mourdock Network	lancemourdock	8	342388370686664704	Javonte Williams	RB	DAL		
12	90	2	Snatchville Lubricators	kesso	7	589576591017811968	Khalil Shakir	WR	BUF		
12	91	3	oG United	Jottage	6	342040643784294400	Deebo Samuel	WR	WAS		
12	92	4	Dreggsverein	ShamH	5	76695567182741504	Cam Skattebo	RB	NYG		
12	93	5	Talahon United	Simon2307	4	859802093802864640	Zach Charbonnet	RB	SEA		
12	94	6	Extrem durstige Welse	LosSausages	3	342208470788886528	P. Steelers	DEF	PIT		
12	95	7	Juschka	Juschka	2	341593961992892416	Jayden Reed	WR	GB		
12	96	8	I_hate_Kowa	theBIGLebronski	1	635586046918230016	Justin Herbert	QB	LAC		
13	97	1	I_hate_Kowa	theBIGLebronski	1	635586046918230016	Tank Bigsby	RB	PHI		
13	98	2	Juschka	Juschka	2	341593961992892416	Tyjae Spears	RB	TEN		
13	99	3	Extrem durstige Welse	LosSausages	3	342208470788886528	Ricky Pearsall	WR	SF		
13	100	4	Talahon United	Simon2307	4	859802093802864640	Rachaad White	RB	TB		
13	101	5	Dreggsverein	ShamH	5	76695567182741504	D. Broncos	DEF	DEN		
13	102	6	oG United	Jottage	6	342040643784294400	David Njoku	TE	CLE		
13	103	7	Snatchville Lubricators	kesso	7	589576591017811968	Brandon Aubrey	K	DAL		
13	104	8	Suckme Mourdock Network	lancemourdock	8	342388370686664704	W. Commanders	DEF	WAS		
14	105	1	Suckme Mourdock Network	lancemourdock	8	342388370686664704	Cooper Kupp	WR	SEA		
14	106	2	Snatchville Lubricators	kesso	7	589576591017811968	J.K. Dobbins	RB	DEN		
14	107	3	oG United	Jottage	6	342040643784294400	Jordan Mason	RB	MIN		
14	108	4	Dreggsverein	ShamH	5	76695567182741504	Jauan Jennings	WR	SF		
14	109	5	Talahon United	Simon2307	4	859802093802864640	P. Eagles	DEF	PHI		
14	110	6	Extrem durstige Welse	LosSausages	3	342208470788886528	Isaac Guerendo	RB	SF		
14	111	7	Juschka	Juschka	2	341593961992892416	B. Ravens	DEF	BAL		
14	112	8	I_hate_Kowa	theBIGLebronski	1	635586046918230016	Tyler Warren	TE	IND		
15	113	1	I_hate_Kowa	theBIGLebronski	1	635586046918230016	S. 49ers	DEF	SF		
15	114	2	Juschka	Juschka	2	341593961992892416	Rico Dowdle	RB	CAR		
15	115	3	Extrem durstige Welse	LosSausages	3	342208470788886528	Cameron Dicker	K	LAC		
15	116	4	Talahon United	Simon2307	4	859802093802864640	Chris Boswell	K	PIT		
15	117	5	Dreggsverein	ShamH	5	76695567182741504	Jake Bates	K	DET		
15	118	6	oG United	Jottage	6	342040643784294400	Chase McLaughlin	K	TB		
15	119	7	Snatchville Lubricators	kesso	7	589576591017811968	T. Buccaneers	DEF	TB		
15	120	8	Suckme Mourdock Network	lancemourdock	8	342388370686664704	Henry Ruggs	WR			
