Round	Overall	PickInRound	TeamName	ManagerName	OriginalSlot	PickedByUser	Player	Pos	NFLTeam	Keeper	Notes
4	32	8	Snatchville Lubricators	kesso	1	589576591017811968	Michael Pittman	WR	IND		
5	33	1	Snatchville Lubricators	kesso	1	589576591017811968	Keenan Allen	WR	LAC		
5	34	2	SimonFuhr237	SimonFuhr237	2	859802093802864640	Tee Higgins	WR	CIN		
5	35	3	Los Cheezos Ritzos	LosSausages	3	342208470788886528	Antonio Gibson	RB	NE		
5	36	4	Show Me Your TDs	theBIGLebronski	4	635586046918230016	J.K. Dobbins	RB	DEN		
5	37	5	oG United	Jottage	5	342040643784294400	DJ Moore	WR	CHI		
5	38	6	Juschka	Juschka	6	341593961992892416	David Montgomery	RB	DET		
5	39	7	Suckme Mourdock Network	lancemourdock	7	342388370686664704	Terry McLaurin	WR	WAS		
5	40	8	Weizen Express	ShamH	8	76695567182741504	Mike Williams	WR			
6	41	1	Weizen Express	ShamH	8	76695567182741504	Patrick Mahomes	QB	KC		
6	42	2	Suckme Mourdock Network	lancemourdock	7	342388370686664704	Justin Herbert	QB	LAC		
6	43	3	Juschka	Juschka	6	341593961992892416	Diontae Johnson	WR			
6	44	4	oG United	Jottage	5	342040643784294400	George Kittle	TE	SF		
6	45	5	Show Me Your TDs	theBIGLebronski	4	635586046918230016	DK Metcalf	WR	PIT		
6	46	6	Los Cheezos Ritzos	LosSausages	3	342208470788886528	Amari Cooper	WR			
6	47	7	SimonFuhr237	SimonFuhr237	2	859802093802864640	Elijah Mitchell	RB	KC		
6	48	8	Snatchville Lubricators	kesso	1	589576591017811968	Darren Waller	TE	MIA		
7	49	1	Snatchville Lubricators	kesso	1	589576591017811968	Joe Burrow	QB	CIN		
7	50	2	SimonFuhr237	SimonFuhr237	2	859802093802864640	Courtland Sutton	WR	DEN		
7	51	3	Los Cheezos Ritzos	LosSausages	3	342208470788886528	Lamar Jackson	QB	BAL		
7	52	4	Show Me Your TDs	theBIGLebronski	4	635586046918230016	Travis Etienne	RB	JAX		
7	53	5	oG United	Jottage	5	342040643784294400	Allen Robinson	WR			
7	54	6	Juschka	Juschka	6	341593961992892416	Josh Jacobs	RB	GB		
7	55	7	Suckme Mourdock Network	lancemourdock	7	342388370686664704	Breece Hall	RB	NYJ		
7	56	8	Weizen Express	ShamH	8	76695567182741504	Brandin Cooks	WR	NO		
8	57	1	Weizen Express	ShamH	8	76695567182741504	Jaylen Waddle	WR	MIA		
8	58	2	Suckme Mourdock Network	lancemourdock	7	342388370686664704	Damien Harris	RB			
8	59	3	Juschka	Juschka	6	341593961992892416	Hollywood Brown	WR	KC		
8	60	4	oG United	Jottage	5	342040643784294400	Jerry Jeudy	WR	CLE		
8	61	5	Show Me Your TDs	theBIGLebronski	4	635586046918230016	Miles Sanders	RB	DAL		
8	62	6	Los Cheezos Ritzos	LosSausages	3	342208470788886528	Brandon Aiyuk	WR	SF		
8	63	7	SimonFuhr237	SimonFuhr237	2	859802093802864640	Kyler Murray	QB	ARI		
8	64	8	Snatchville Lubricators	kesso	1	589576591017811968	Amon-Ra St. Brown	WR	DET		
9	65	1	Snatchville Lubricators	kesso	1	589576591017811968	DeVonta Smith	WR	PHI		
9	66	2	SimonFuhr237	SimonFuhr237	2	859802093802864640	A.J. Dillon	RB	PHI		
9	67	3	Los Cheezos Ritzos	LosSausages	3	342208470788886528	Michael Thomas	WR			
9	68	4	Show Me Your TDs	theBIGLebronski	4	635586046918230016	Jalen Hurts	QB	PHI		
9	69	5	oG United	Jottage	5	342040643784294400	Rashod Bateman	WR	BAL		
9	70	6	Juschka	Juschka	6	341593961992892416	Tim Patrick	WR	JAX		
9	71	7	Suckme Mourdock Network	lancemourdock	7	342388370686664704	DeAndre Hopkins	WR	BAL		
9	72	8	Weizen Express	ShamH	8	76695567182741504	Rashaad Penny	RB			
10	73	1	Weizen Express	ShamH	8	76695567182741504	Gabe Davis	WR	BUF		
10	74	2	Suckme Mourdock Network	lancemourdock	7	342388370686664704	T.J. Hockenson	TE	MIN		
10	75	3	Juschka	Juschka	6	341593961992892416	Cordarrelle Patterson	RB			
10	76	4	oG United	Jottage	5	342040643784294400	Darnell Mooney	WR	ATL		
10	77	5	Show Me Your TDs	theBIGLebronski	4	635586046918230016	Adam Thielen	WR	MIN		
10	78	6	Los Cheezos Ritzos	LosSausages	3	342208470788886528	Dawson Knox	TE	BUF		
10	79	7	SimonFuhr237	SimonFuhr237	2	859802093802864640	Tyler Lockett	WR	TEN		
10	80	8	Snatchville Lubricators	kesso	1	589576591017811968	Allen Lazard	WR	NYJ		
11	81	1	Snatchville Lubricators	kesso	1	589576591017811968	Melvin Gordon	RB			
11	82	2	SimonFuhr237	SimonFuhr237	2	859802093802864640	Clyde Edwards-Helaire	RB	KC		
11	83	3	Los Cheezos Ritzos	LosSausages	3	342208470788886528	Kenneth Walker	RB	SEA		
11	84	4	Show Me Your TDs	theBIGLebronski	4	635586046918230016	Chase Claypool	WR			
11	85	5	oG United	Jottage	5	342040643784294400	Chris Godwin	WR	TB		
11	86	6	Juschka	Juschka	6	341593961992892416	Mecole Hardman	WR			
11	87	7	Suckme Mourdock Network	lancemourdock	7	342388370686664704	Dak Prescott	QB	DAL		
11	88	8	Weizen Express	ShamH	8	76695567182741504	Kareem Hunt	RB	KC		
12	89	1	Weizen Express	ShamH	8	76695567182741504	Elijah Moore	WR	BUF		
12	90	2	Suckme Mourdock Network	lancemourdock	7	342388370686664704	Chase Edmonds	RB	WAS		
12	91	3	Juschka	Juschka	6	341593961992892416	C. Panthers	DEF	CAR		
12	92	4	oG United	Jottage	5	342040643784294400	Devin Singletary	RB	NYG		
12	93	5	Show Me Your TDs	theBIGLebronski	4	635586046918230016	Chris Olave	WR	NO		
12	94	6	Los Cheezos Ritzos	LosSausages	3	342208470788886528	Dalton Schultz	TE	HOU		
12	95	7	SimonFuhr237	SimonFuhr237	2	859802093802864640	JuJu Smith-Schuster	WR	KC		
12	96	8	Snatchville Lubricators	kesso	1	589576591017811968	Drake London	WR	ATL		
13	97	1	Snatchville Lubricators	kesso	1	589576591017811968	Aaron Rodgers	QB	PIT		
13	98	2	SimonFuhr237	SimonFuhr237	2	859802093802864640	B. Bills	DEF	BUF		
13	99	3	Los Cheezos Ritzos	LosSausages	3	342208470788886528	Justin Tucker	K			
13	100	4	Show Me Your TDs	theBIGLebronski	4	635586046918230016	Robert Woods	WR			
13	101	5	oG United	Jottage	5	342040643784294400	Rhamondre Stevenson	RB	NE		
13	102	6	Juschka	Juschka	6	341593961992892416	Marquez Valdes-Scantling	WR	SF		
13	103	7	Suckme Mourdock Network	lancemourdock	7	342388370686664704	Hunter Renfrow	WR	CAR		
13	104	8	Weizen Express	ShamH	8	76695567182741504	James Robinson	RB			
14	105	1	Weizen Express	ShamH	8	76695567182741504	N. Patriots	DEF	NE		
14	106	2	Suckme Mourdock Network	lancemourdock	7	342388370686664704	N. Saints	DEF	NO		
14	107	3	Juschka	Juschka	6	341593961992892416	Mason Crosby	K			
14	108	4	oG United	Jottage	5	342040643784294400	T. Buccaneers	DEF	TB		
14	109	5	Show Me Your TDs	theBIGLebronski	4	635586046918230016	Raheem Mostert	RB	LV		
14	110	6	Los Cheezos Ritzos	LosSausages	3	342208470788886528	K. Chiefs	DEF	KC		
14	111	7	SimonFuhr237	SimonFuhr237	2	859802093802864640	Tyler Bass	K	BUF		
14	112	8	Snatchville Lubricators	kesso	1	589576591017811968	Trey Lance	QB	LAC		
15	113	1	Snatchville Lubricators	kesso	1	589576591017811968	Ronald Jones	RB			
15	114	2	SimonFuhr237	SimonFuhr237	2	859802093802864640	Dallas Goedert	TE	PHI		
15	115	3	Los Cheezos Ritzos	LosSausages	3	342208470788886528	Austin MacGinnis	K			
15	116	4	Show Me Your TDs	theBIGLebronski	4	635586046918230016	S. 49ers	DEF	SF		
15	117	5	oG United	Jottage	5	342040643784294400	Russell Wilson	QB	NYG		
15	118	6	Juschka	Juschka	6	341593961992892416	Dustin Hopkins	K			
15	119	7	Suckme Mourdock Network	lancemourdock	7	342388370686664704	Wil Lutz	K	DEN		
15	120	8	Weizen Express	ShamH	8	76695567182741504	Tom Brady	QB			
